,0
0,23.44340425531915
1,-35.65531914893617
2,9.052765957446809
3,67.05617021276595
4,-41.93531914893617
5,-38.596595744680826
6,-132.5140425531915
7,-58.80340425531915
8,31.18468085106383
9,24.15148936170212
10,-61.16085106382978
11,-141.52170212765952
12,-81.47319148936168
13,-68.11574468085107
14,40.74127659574468
15,-11.33446808510638
16,-41.91489361702128
17,-66.33276595744684
18,3726.137021276598
19,-32.0595744680851
20,20.640851063829786
21,16.952340425531915
22,-4.520851063829788
23,-13.355744680851046
24,127.98212765957447
25,9.872340425531917
26,-32.072340425531905
27,-33.69872340425532
28,-16.69787234042553
29,16.048510638297873
30,-53.04000000000002
31,12.46468085106383
32,83.33617021276598
33,67.86297872340427
34,78.42638297872338
35,244.27063829787232
36,52.80170212765958
37,34.48425531914893
38,-2077.624680851064
39,-1665.5565957446809
40,-1724.7991489361702
41,2201.2229787234046
42,1191.232340425533
43,1909.1872340425543
44,1491.963404255319
45,1867.3140425531928
46,1668.1497872340406
47,165.5055319148936
48,156.94638297872342
49,332.3029787234042
50,-3279.0808510638303
51,-2299.3404255319147
52,11.308936170212746
53,-350.1438297872339
54,105.51063829787233
55,51.99063829787232
56,59.18382978723406
57,88.29531914893616
58,83.66723404255316
59,74.36851063829786
60,-22.680851063829785
61,-47.1370212765957
62,-4.7863829787234025
63,67.7072340425532
64,-157.55489361702126
65,-10.818723404255309
66,107.0451063829787
67,28.33021276595744
68,67.50553191489371
69,-249.36170212765956
70,-177.34553191489363
71,-149.78978723404254
72,96.29021276595745
73,-151.62042553191486
74,-7.9821276595744735
75,-43.10468085106385
76,-19.09531914893617
77,-10.694468085106394
78,118.33617021276598
79,4.726808510638297
80,26.799148936170212
81,-23.268085106382955
82,-36.86382978723404
83,-23.392340425531913
84,-9.527659574468082
85,103.40595744680849
86,18.53531914893617
87,774.0365957446809
88,-5.114042553191439
89,-38.810212765957445
90,-39.68936170212771
91,-91.97276595744681
92,-68.52680851063838
93,71.15489361702123
94,-52.67659574468081
95,-15.253617021276597
96,1.3514893617021277
97,166.66212765957442
98,16.95744680851064
99,-6.606808510638299
100,3.622127659574474
101,-10.297021276595757
102,-4.580425531914898
103,38.91063829787235
104,-122.36595744680852
105,1.6995744680851033
106,388.7489361702128
107,77.41617021276602
108,-140.0374468085106
109,8.542978723404303
110,2.0970212765957434
111,-106.86297872340424
112,21.921702127659586
113,117.76936170212765
114,-24.312340425531943
115,-7.422127659574471
116,7.935319148936173
117,-57.044255319148945
118,-70.43063829787235
119,105.89106382978721
120,14.062978723404255
121,-35.19404255319151
122,133.8144680851064
123,265.16340425531916
124,-13.41021276595744
125,-24.37957446808514
126,107.4927659574468
127,-40.12595744680851
128,-47.592340425531916
129,27.360851063829784
130,112.00170212765954
131,13.240000000000009
132,-47.73531914893617
133,-55.81957446808511
134,-21.68851063829787
135,225.22382978723397
136,28.808510638297875
137,-31.58127659574461
138,545.488510638298
139,-88.34042553191489
140,-140.43489361702126
141,-74.4468085106383
142,-15.99659574468086
143,-91.86127659574467
144,58.42297872340424
145,12.362553191489383
146,-105.1131914893617
147,39.27148936170215
148,-91.84936170212765
149,-170.7736170212766
150,-91.41787234042556
151,19.40425531914893
152,71.67914893617024
153,-56.2357446808511
154,-331.70468085106376
155,-290.1855319148936
156,533.731914893617
157,-1.303829787234065
158,139.14808510638295
159,-36.885957446808504
160,1478.0714893617023
161,-39.88851063829787
162,-825.5548936170213
163,90.77276595744684
164,-37.708936170212766
165,-51.5063829787234
166,242.48680851063824
167,-267.35404255319145
168,11.576170212766101
169,-115.45446808510633
170,-739.3046808510637
171,96.03063829787234
172,753.1489361702128
173,-48.66723404255319
174,178.0408510638298
175,38.69276595744685
176,45.558297872340404
177,-8.571063829787235
178,122.74808510638297
179,90.12510638297874
180,-697.8357446808511
181,-87.4876595744681
182,56.483404255319144
183,6.767659574468084
184,-94.33191489361704
185,-28.63744680851064
186,-6.3548936170212755
187,16.121702127659578
188,-102.22297872340414
189,-16.560000000000002
190,491.7199999999998
191,1.057872340425531
192,7.937021276595743
193,53.43489361702129
194,-318.0076595744681
195,-486.7982978723405
196,-59.36765957446809
197,30.167659574468075
198,-41.70468085106383
199,-631.9821276595744
200,229.34468085106386
201,-187.49872340425532
202,-47.61787234042552
203,16.925957446808496
204,-28.86723404255319
205,-111.09021276595745
206,-74.87914893617021
207,-420.4876595744679
208,-65.98808510638298
209,-133.0902127659574
210,-79.6731914893617
211,-32.62978723404257
212,-17.43744680851064
213,-64.18893617021277
214,1535.6008510638303
215,-91.73361702127659
216,60.56595744680851
217,-86.44765957446793
218,-60.81021276595743
219,-453.4689361702127
220,-297.91914893617025
221,-13.16595744680852
222,10.798297872340413
223,4.4425531914893615
224,-6.2119148936170205
225,-123.52085106382947
